"V1","V2","V3","V4","V5","V6","peakTF"
357,875,6242,12372,0.999999998836596,0.657246051848083,"ETS1_OVCAR-8"
429,875,7064,12372,0.999999731860772,0.704881805157745,"ETS1_CD4-pos"
482,875,7771,12372,0.99999949561522,0.708091790321678,"ETS1_THP-6"
589,875,9081,12372,0.999985738512639,0.728778593500501,"ETS1_SCC-25"
602,875,9118,12372,0.999663995375843,0.77190773721047,"ETS1_786-O"
584,875,8669,12372,0.987787811610296,0.846959268652709,"UBTF_K-562"
333,875,5498,12372,0.999968094294189,0.753227439691114,"TBL1XR1_K-562"
572,875,8110,12372,0.562065461050299,0.991475879020691,"STAG2_OCI-AML-3"
547,875,8443,12372,0.999917184463602,0.760542097406623,"CTCF_uterus"
410,875,5846,12372,0.609185925189123,0.983095050462081,"CTCF_peripheral-blood-neutrophil"
457,875,6187,12372,0.092130873785821,1.10034916602715,"CTCF_endothelial"
225,875,3165,12372,0.476685815504936,1.00749555593537,"CTCF_BE2C"
317,875,4575,12372,0.695353012512964,0.965824144370785,"CTCF_Hep-G2"
317,875,4759,12372,0.92646169276006,0.902271404534119,"CTCF_vagina"
471,875,6914,12372,0.904049247022313,0.914513445893798,"CTCF_pancreas"
525,875,7370,12372,0.408553873570821,1.0194299081558,"CTCF_primary-glioblastoma"
418,875,6462,12372,0.997224081311409,0.82523777740514,"CTCF_skin"
92,875,1473,12372,0.916828579519101,0.860689218850537,"CTCF_U-937"
386,875,5552,12372,0.692905931385549,0.967375566188991,"CTCF_hepatocyte"
473,875,7066,12372,0.972980903417116,0.875201734605306,"CTCF_thyroid-gland"
285,875,4177,12372,0.790520341649968,0.943885320791378,"CTCF_fetal"
524,875,7139,12372,0.0931551094568025,1.10179867891126,"CTCF_keratinocyte"
348,875,5065,12372,0.777450524252164,0.94914040477111,"CTCF_islet"
393,875,5106,12372,0.0129034352809787,1.17361686219791,"CTCF_HT-1080"
520,875,7850,12372,0.995117724839072,0.832732789872603,"CTCF_esophagus-muscularis-mucosa"
350,875,5524,12372,0.998221232946705,0.814728788819034,"CTCF_tibial-nerve"
