V1,V2,V3,V4,V5,V6,peakTF
1,37,331,12372,0.633904898,1.010522365,HSF1_BPE
1,37,1674,12372,0.995426452,0.177040522,ZNF280D_HEK293
1,37,424,12372,0.725327682,0.782255708,TSC22D4_Hep-G2
1,37,372,12372,0.677371152,0.895784463,TEAD4_HUCCT1
1,37,77,12372,0.206526729,4.479834148,TEAD4_MCF-10A
1,37,256,12372,0.539190822,1.315868564,TEAD4_HCT-116
2,37,448,12372,0.389559866,1.523161466,RELA_GM19193
1,37,45,12372,0.126301843,7.755447236,YAP1_MSTO
4,37,956,12372,0.319727972,1.44926185,NFKB1_CD4-pos
1,37,15,12372,0.043956677,24.41217241,TCF3_RPMI8402
1,37,101,12372,0.261944788,3.397953049,BRD4_LP1
1,37,268,12372,0.555804179,1.255485858,TBL1XR1_GM12878
1,37,182,12372,0.422554972,1.865170207,BCL6_RS4-11
1,37,252,12372,0.533519862,1.337279121,NR3C1_NALM-6
2,37,221,12372,0.141098351,3.160803795,EP300_697
1,37,465,12372,0.758178153,0.710682222,NCOR2_OCI-Ly1
1,37,129,12372,0.321848242,2.648692626,HSF1_P12
1,37,724,12372,0.892954704,0.446155595,HSF1_SW620
2,37,797,12372,0.698491598,0.829475451,HSF1_U2OS
2,37,901,12372,0.7623702,0.726901854,STAT3_SU-DHL-10
1,37,126,12372,0.315663509,2.712875855,YBX1_GM12878
1,37,630,12372,0.855813961,0.516968914,NCOR1_OCI-Ly1
1,37,459,12372,0.753621416,0.720356042,CHD1_GM12878
2,37,790,12372,0.693740054,0.837351606,BRD4_MOLT-4
1,37,707,12372,0.887010275,0.457567152,ZNF444_K-562
1,37,169,12372,0.399291906,2.011463619,JARID2_hESC
1,37,1659,12372,0.995182673,0.178893494,PCBP2_Hep-G2
1,37,1016,12372,0.958220183,0.309815816,IRF1_HAEC
1,37,649,12372,0.864212218,0.500995806,IRF1_CD14
3,37,3501,12372,0.999468672,0.222916989,ZNF281_K-562
1,37,429,12372,0.729555087,0.772793139,HSF1_breast
1,37,138,12372,0.340077913,2.472945609,ZNF426_HEK293
1,37,789,12372,0.913002527,0.407063443,GTF3C2_T98G
1,37,128,12372,0.319792731,2.669751461,GTF3C2_HeLa-S3
1,37,754,12372,0.902711007,0.427274463,GTF3C5_IMR-5
1,37,418,12372,0.72016988,0.793910295,SREBF2_GM12878
1,37,89,12372,0.234723693,3.864995728,SREBF2_A-549
1,37,12,12372,0.035318486,31.05473551,NBN_MCF-10A
1,37,744,12372,0.899559181,0.433398766,ZNF384_HEK293T
1,37,877,12372,0.934420503,0.363382106,CHAMP1_K-562
1,37,264,12372,0.550332212,1.275001194,ARNT_RCC10
1,37,716,12372,0.890196242,0.451458146,NR3C1_MDA-MB-361
2,37,1705,12372,0.971520584,0.356768405,SHOX2_K-562
1,37,367,12372,0.672352216,0.908400576,CHD4_macrophage
1,37,73,12372,0.196905041,4.729605318,SOX4_glioblastoma
1,37,16,12372,0.046819314,22.7889184,BRF1_K-562
1,37,1905,12372,0.997963514,0.152191576,BRF1_H9
1,37,17,12372,0.04967361,21.34485998,BRF1_HeLa-S3
1,37,417,12372,0.719301134,0.795885407,TEAD4_SK-N-BE2
1,37,739,12372,0.897946232,0.436523154,ZNF264_HEK293
2,37,217,12372,0.137013756,3.220667398,BRD4_GEN2-2
1,37,362,12372,0.667257345,0.921366129,JMJD6_CHP-134
1,37,322,12372,0.62362736,1.039646199,CDK8_monocyte
1,37,4346,12372,0.999999892,0.051086061,ZNF148_K-562
1,37,1103,12372,0.968581222,0.283164338,GATA6_foregut
1,37,22,12372,0.063820809,16.27635019,ARNT_HUVEC-C
1,37,135,12372,0.33405498,2.528782566,WDR5_hESC
1,37,1010,12372,0.957394285,0.311823257,WDR5_LoVo
1,37,726,12372,0.893633715,0.444848241,WDR5_HEK293T
1,37,276,12372,0.56655443,1.218158324,MYC_HUVEC-C
1,37,1477,12372,0.991005958,0.2043769,RBBP5_GM12878
1,37,730,12372,0.894979186,0.442255053,ZZZ3_K-562
1,37,207,12372,0.464853278,1.635420354,NBN_MCF-7
1,37,2622,12372,0.999853245,0.102959654,ZMYND11_DU145
1,37,1715,12372,0.996033141,0.172141208,CDK9_P493-6
1,37,512,12372,0.79114471,0.642762795,JUN_WA01
1,37,2022,12372,0.998657424,0.141772894,ZNF76_K-562
1,37,2263,12372,0.999439363,0.12370867,PBX1_A-549
1,37,322,12372,0.62362736,1.039646199,JUND_Calu-3
1,37,1938,12372,0.998188441,0.14912554,TBX2_SK-N-BE2-C
1,37,525,12372,0.799462525,0.626127451,IRF9_K-562
1,37,1611,12372,0.994314571,0.185055022,STAT1_HeLa-S3
1,37,376,12372,0.681332369,0.885933777,ZNF322_HEK293
1,37,855,12372,0.929605177,0.373458507,NR4A1_MOLM-14
