"Run","p","OR","a","b","c","d","tissue"
"Run_Up8_Locus",NA,NA,NA,NA,NA,NA,"Vagina"
"Run_Up8_Locus",0.0803740851179181,5.20382341021059,4,12,6,36,"Whole_Blood"
"Run_Up24_Locus",0.689984101748808,1.04051071937986,1,9,4,37,"Adipose_Subcutaneous"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Adipose_Visceral_Omentum"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Adrenal_Gland"
"Run_Up24_Locus",0.222222222222222,Inf,1,8,1,36,"Artery_Aorta"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Artery_Coronary"
"Run_Up24_Locus",0.231435539483643,3.31492854538899,2,9,5,48,"Artery_Tibial"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Amygdala"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Anterior_cingulate_cortex_BA24"
"Run_Up24_Locus",0.214285714285715,Inf,1,6,1,28,"Brain_Caudate_basal_ganglia"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Cerebellar_Hemisphere"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Cerebellum"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Cortex"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Frontal_Cortex_BA9"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Hippocampus"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Hypothalamus"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Nucleus_accumbens_basal_ganglia"
"Run_Up24_Locus",0.176470588235294,Inf,1,3,1,17,"Brain_Putamen_basal_ganglia"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Spinal_cord_cervical_c-1"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Brain_Substantia_nigra"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Breast_Mammary_Tissue"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Cells_Cultured_fibroblasts"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Cells_EBV-transformed_lymphocytes"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Colon_Sigmoid"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Colon_Transverse"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Esophagus_Gastroesophageal_Junction"
"Run_Up24_Locus",0.615717769741821,1.27854142880774,1,8,5,48,"Esophagus_Mucosa"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Esophagus_Muscularis"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Heart_Atrial_Appendage"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Heart_Left_Ventricle"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Kidney_Cortex"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Liver"
"Run_Up24_Locus",0.523460410557185,1.9517122037807,1,7,3,33,"Lung"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Minor_Salivary_Gland"
"Run_Up24_Locus",0.763273098318028,0.782219728252933,1,10,5,42,"Muscle_Skeletal"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Nerve_Tibial"
"Run_Up24_Locus",NA,NA,NA,NA,NA,NA,"Ovary"
